YEAR_ID,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,PRODUCTLINE,COUNTRY,DEALSIZE
2003,30,95.7,2,2871,Tshirts,USA,Small
2003,34,81.35,5,2765.9,Tshirts,France,Small
2003,41,94.74,2,3884.34,Tshirts,France,Medium
2003,45,83.26,6,3746.7,Tshirts,USA,Medium
2003,49,100,14,5205.27,Tshirts,USA,Medium
2003,36,96.66,1,3479.76,Tshirts,USA,Medium
2003,29,86.13,9,2497.77,Tshirts,France,Small
2003,48,100,1,5512.32,Tshirts,Norway,Medium
2003,22,98.57,2,2168.54,Tshirts,USA,Small
2003,26,100,11,5404.62,trouser,Norway,Medium
2003,29,100,1,7209.11,trouser,Sweden,Large
2003,38,100,11,7329.06,trouser,Spain,Large
2003,37,100,11,7374.1,trouser,USA,Large
2003,45,100,8,10993.5,trouser,Singapore,Large
2003,21,100,1,4860.24,trouser,USA,Medium
2003,34,100,4,8014.82,trouser,Australia,Large
2003,23,100,8,5372.57,trouser,USA,Medium
2003,42,100,11,7290.36,trouser,France,Large
2003,47,100,6,9064.89,trouser,Canada,Large
2003,39,99.91,5,3896.49,Tshirts,USA,Medium
2003,29,96.34,3,2793.86,Tshirts,Australia,Small
2003,27,100,5,3307.77,Tshirts,France,Medium
2003,37,100,9,5192.95,Tshirts,USA,Medium
2003,37,100,17,5016.83,Tshirts,USA,Medium
2003,27,100,4,3660.93,Tshirts,USA,Medium
2003,42,100,12,4695.6,Tshirts,France,Medium
2003,38,96.34,4,3660.92,Tshirts,Norway,Medium
2003,24,100,5,3025.92,Tshirts,USA,Medium
2003,27,100,4,6065.55,Tshirts,USA,Medium
2003,46,100,2,9264.86,Tshirts,Australia,Large
2003,31,100,4,7023.98,Tshirts,France,Large
2003,33,100,8,5176.38,Tshirts,USA,Medium
2003,22,100,16,4132.7,Tshirts,USA,Medium
2003,20,100,3,4183,Tshirts,USA,Medium
2003,41,100,11,8892.9,Tshirts,France,Large
2003,45,100,3,8714.7,Tshirts,Norway,Large
2003,49,100,4,8065.89,Tshirts,USA,Large
2003,50,100,2,7208,trouser,Denmark,Large
2003,46,100,11,5004.8,trouser,Austria,Medium
2003,33,100,2,4398.24,trouser,UK,Medium
2003,49,100,15,5597.76,trouser,USA,Medium
2003,32,100,13,4526.08,trouser,Finland,Medium
2003,44,100,9,5924.16,trouser,Sweden,Medium
2003,24,100,12,3492.48,trouser,France,Medium
2003,26,100,9,3854.24,trouser,UK,Medium
2003,45,100,6,5324.4,trouser,Spain,Medium
2003,42,100,4,5398.26,trouser,Norway,Medium
2003,31,100,8,4305.28,trouser,France,Medium
2003,22,100,4,3347.74,trouser,Spain,Medium
2003,26,100,4,3188.12,trouser,USA,Medium
2003,20,100,1,3191.2,trouser,Singapore,Medium
2003,21,100,2,3536.82,trouser,Austria,Medium
2003,33,100,9,5362.83,trouser,UK,Medium
2003,28,100,1,3433.36,trouser,USA,Medium
2003,26,100,4,4263.74,trouser,France,Medium
2003,31,100,15,4076.19,trouser,USA,Medium
2003,33,100,6,5265.15,trouser,Philippines,Medium
2003,42,100,10,7599.9,trouser,France,Large
2003,42,100,7,8008.56,trouser,USA,Large
2003,48,100,7,9245.76,trouser,USA,Large
2003,41,100,2,8296.35,trouser,USA,Large
2003,30,100,2,5019.9,trouser,Australia,Medium
2003,27,100,14,5411.07,trouser,Norway,Medium
2003,21,100,3,3840.9,trouser,Germany,Medium
2003,20,100,8,3930.4,trouser,Spain,Medium
2003,33,100,5,5521.89,trouser,Germany,Medium
2003,41,100,15,8690.36,trouser,Denmark,Large
2003,33,100,9,6034.38,trouser,Singapore,Medium
2003,46,100,2,11279.2,trouser,USA,Large
2003,33,100,12,8023.29,trouser,USA,Large
2003,20,100,11,4904,trouser,Spain,Medium
2003,44,100,3,8594.52,trouser,Singapore,Large
2003,33,100,2,7474.5,trouser,Italy,Large
2003,21,100,13,3883.74,trouser,USA,Medium
2003,47,100,5,8887.7,trouser,USA,Large
2003,27,100,8,3394.98,Sports clothes,Norway,Medium
2003,21,100,2,3415.44,Sports clothes,USA,Medium
2003,21,100,8,2439.57,Sports clothes,Spain,Small
2003,38,100,8,4829.8,Sports clothes,USA,Medium
2003,30,100,5,4100.1,Sports clothes,Singapore,Medium
2003,49,100,6,6563.06,Sports clothes,Austria,Medium
2003,43,100,1,6817.22,Sports clothes,Australia,Medium
2003,41,100,5,6163.94,Sports clothes,USA,Medium
2003,38,100,8,4933.92,Sports clothes,France,Medium
2003,28,100,3,4056.36,Sports clothes,Canada,Medium
2003,21,100,1,3036.6,Tshirts,USA,Medium
2003,50,100,4,8284,Tshirts,France,Large
2003,20,100,1,2711.2,Tshirts,France,Small
2003,49,100,5,8339.8,Tshirts,USA,Large
2003,38,100,13,6238.84,Tshirts,USA,Medium
2003,35,100,13,4639.25,Tshirts,Australia,Medium
2003,40,100,8,6747.6,Tshirts,France,Medium
2003,28,100,1,4512.48,Tshirts,USA,Medium
2003,25,100,1,4029,Tshirts,USA,Medium
2003,34,100,1,5958.5,trouser,Spain,Medium
2003,43,100,10,5911.64,trouser,Singapore,Medium
2003,46,100,3,7366.44,trouser,USA,Large
2003,33,100,13,4985.64,trouser,USA,Medium
2003,42,100,12,5393.64,trouser,Spain,Medium
2003,34,100,4,4880.02,trouser,Singapore,Medium
2003,47,100,3,8378.69,trouser,Italy,Large
2003,33,100,14,4038.21,trouser,USA,Medium
2003,24,100,6,3807.12,trouser,USA,Medium
2003,45,100,4,6130.35,trouser,Philippines,Medium
2003,37,99.82,8,3693.34,trouser,France,Medium
2003,48,100,5,6031.68,trouser,USA,Medium
2003,31,100,5,3494.94,trouser,USA,Medium
2003,46,100,6,5294.14,trouser,USA,Medium
2003,47,100,4,5464.69,trouser,Austria,Medium
2003,28,100,12,2860.76,trouser,Norway,Small
2003,40,100,1,5590,trouser,Germany,Medium
2003,20,100,6,2254.8,trouser,Spain,Small
2003,29,100,3,3984.6,trouser,Germany,Medium
2003,29,100,14,4566.05,trouser,Denmark,Medium
2003,39,100,8,5938.14,trouser,Singapore,Medium
2003,42,100,1,8138.76,trouser,USA,Large
2003,46,100,11,9470.94,trouser,USA,Large
2003,49,100,10,7036.89,trouser,Spain,Large
2003,27,100,2,5559.03,trouser,Singapore,Medium
2003,50,100,1,7872.5,trouser,Italy,Large
2003,43,100,12,7886.2,trouser,USA,Large
2003,38,100,4,7232.16,trouser,USA,Large
2003,39,89.38,7,3485.82,trouser,Philippines,Medium
2003,32,63.84,11,2042.88,trouser,France,Small
2003,24,75.01,8,1800.24,trouser,USA,Small
2003,21,63.84,8,1340.64,trouser,USA,Small
2003,24,73.42,3,1762.08,trouser,USA,Small
2003,36,63.84,3,2298.24,trouser,Australia,Small
2003,20,81.4,15,1628,trouser,Norway,Small
2003,30,64.64,4,1939.2,trouser,Germany,Small
2003,44,82.99,9,3651.56,trouser,Spain,Medium
2003,22,76.61,6,1685.42,trouser,Germany,Small
2003,41,100,9,4615.78,Sports clothes,Spain,Medium
2003,46,100,5,5723.78,Sports clothes,USA,Medium
2003,24,100,11,2559.6,Sports clothes,USA,Small
2003,21,100,5,2140.11,Sports clothes,Finland,Small
2003,24,100,3,3327.6,Sports clothes,Finland,Medium
2003,48,100,12,6825.6,Sports clothes,Singapore,Medium
2003,26,100,1,3543.28,Sports clothes,UK,Medium
2003,37,100,6,4516.22,Sports clothes,Spain,Medium
2003,49,100,6,6445.46,Sports clothes,USA,Medium
2003,34,99.54,7,3384.36,Sports clothes,USA,Medium
2003,36,100,3,3731.04,rainwear,Philippines,Medium
2003,20,100,7,2142,rainwear,France,Small
2003,29,97.89,4,2838.81,rainwear,USA,Small
2003,33,97.89,4,3230.37,rainwear,USA,Medium
2003,50,100,5,5182,rainwear,USA,Medium
2003,41,100,3,4391.1,rainwear,Austria,Medium
2003,36,100,11,4477.32,rainwear,Norway,Medium
2003,27,100,16,3544.56,rainwear,USA,Medium
2003,47,100,5,5195.85,rainwear,Spain,Medium
2003,23,100,2,2807.61,rainwear,Germany,Small
2003,35,100,10,3920,rainwear,Norway,Medium
2003,49,100,4,4916.66,rainwear,USA,Medium
2003,38,100,10,3857,rainwear,Spain,Medium
2003,32,100,10,4181.44,rainwear,USA,Medium
2003,34,100,7,4641,rainwear,Singapore,Medium
2003,36,99.17,8,3570.12,rainwear,Austria,Medium
2003,48,93.34,3,4480.32,rainwear,Australia,Medium
2003,21,96.84,7,2033.64,rainwear,USA,Small
2003,21,93.34,10,1960.14,rainwear,France,Small
2003,34,100,5,3966.78,rainwear,Canada,Medium
2003,26,100,4,4379.18,rainwear,USA,Medium
2003,34,100,2,5004.8,rainwear,France,Medium
2003,25,100,2,3644.75,rainwear,France,Medium
2003,23,100,13,2702.04,rainwear,Australia,Small
2003,28,100,12,3764.88,rainwear,Denmark,Medium
2003,35,100,2,4508,rainwear,Canada,Medium
2003,44,100,6,5418.16,rainwear,Norway,Medium
2003,22,100,11,3300.66,rainwear,USA,Medium
2003,42,100,17,6182.4,rainwear,USA,Medium
2003,37,100,8,5917.78,Sports clothes,Norway,Medium
2003,39,100,2,4808.31,Sports clothes,USA,Medium
2003,33,99.66,6,3288.78,Sports clothes,USA,Medium
2003,32,100,1,3254.72,Sports clothes,Australia,Medium
2003,31,100,7,3184.94,Sports clothes,Australia,Medium
2003,50,100,4,5907.5,Sports clothes,USA,Medium
2003,48,91.44,2,4389.12,Sports clothes,USA,Medium
2003,43,100,6,5036.16,Sports clothes,Italy,Medium
2003,25,87.33,3,2183.25,Sports clothes,USA,Small
2003,28,100,7,3106.88,Sports clothes,Australia,Medium
2003,36,100,2,3735.72,Sports clothes,Spain,Medium
2003,41,50.14,1,2055.74,shorts,USA,Small
2003,48,49.06,5,2354.88,shorts,USA,Small
2003,42,54.99,17,2309.58,shorts,Spain,Small
2003,49,43.13,6,2113.37,shorts,Australia,Small
2003,30,58.22,3,1746.6,shorts,USA,Small
2003,45,51.21,1,2304.45,shorts,USA,Small
2003,48,44.21,5,2122.08,shorts,Italy,Small
2003,32,54.45,2,1742.4,shorts,USA,Small
2003,46,53.37,6,2455.02,shorts,Australia,Small
2003,48,63.61,1,3053.28,shorts,Spain,Medium
2003,37,100,16,5433.08,shorts,UK,Medium
2003,26,100,2,3073.72,shorts,France,Medium
2003,44,99.55,2,4380.2,shorts,France,Medium
2003,47,100,9,5848.68,shorts,Australia,Medium
2003,43,100,8,6153.73,shorts,Denmark,Medium
2003,42,100,6,4965.24,shorts,USA,Medium
2003,42,100,2,5435.64,shorts,Norway,Medium
2003,29,100,7,4258.36,shorts,USA,Medium
2003,40,100,13,4032,shorts,USA,Medium
2003,32,100,4,3424.64,shorts,Norway,Medium
2003,36,100,12,5279.4,Sports clothes,Italy,Medium
2003,43,100,3,6916.12,Sports clothes,Austria,Medium
2003,21,100,4,2781.66,Sports clothes,USA,Small
2003,32,100,7,5248,Sports clothes,USA,Medium
2003,38,100,5,6531.44,Sports clothes,Finland,Medium
2003,43,100,1,5763.72,Sports clothes,Sweden,Medium
2003,42,100,4,6490.68,Sports clothes,France,Medium
2003,32,100,1,6004.8,Sports clothes,UK,Medium
2003,42,100,4,7483.98,Sports clothes,Philippines,Large
2003,30,100,3,5151,Sports clothes,USA,Medium
2003,42,100,7,6069,Sports clothes,UK,Medium
2003,21,100,6,2856,Sports clothes,USA,Small
2003,34,100,11,5375.4,Sports clothes,USA,Medium
2003,29,100,9,5176.5,Sports clothes,USA,Medium
2003,24,100,13,3508.8,Sports clothes,Italy,Medium
2003,44,100,10,7554.8,Sports clothes,USA,Large
2003,21,100,14,3141.6,Sports clothes,Australia,Medium
2003,33,100,4,5890.5,Sports clothes,USA,Medium
2003,43,100,1,7310,shorts,UK,Large
2003,38,82.39,2,3130.82,shorts,Philippines,Medium
2003,43,72.38,6,3112.34,shorts,France,Medium
2003,48,79.31,3,3806.88,shorts,USA,Medium
2003,26,82.39,3,2142.14,shorts,USA,Small
2003,38,88.55,4,3364.9,shorts,USA,Medium
2003,20,63.14,2,1262.8,shorts,Austria,Small
2003,22,73.92,10,1626.24,shorts,Norway,Small
